,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,"['PER', 'LOC', 'ORG']",62,337,100,0.8446115288220551,0.7711670480549199,0.8062200956937798,0,danlp,No augmentation,0
0,"['PER', 'LOC', 'ORG']",62,346,91,0.8480392156862745,0.7917620137299771,0.8189349112426036,0,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",64,343,94,0.8427518427518428,0.7848970251716247,0.8127962085308057,1,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",61,346,91,0.8501228501228502,0.7917620137299771,0.8199052132701423,2,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",58,346,91,0.8564356435643564,0.7917620137299771,0.8228299643281807,3,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",59,346,91,0.854320987654321,0.7917620137299771,0.8218527315914489,4,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",61,343,94,0.849009900990099,0.7848970251716247,0.8156956004756242,5,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",60,347,90,0.8525798525798526,0.7940503432494279,0.8222748815165877,6,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",59,346,91,0.854320987654321,0.7917620137299771,0.8218527315914489,7,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",66,340,97,0.8374384236453202,0.7780320366132724,0.8066429418742587,8,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",62,343,94,0.8469135802469135,0.7848970251716247,0.8147268408551069,9,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",66,339,98,0.837037037037037,0.7757437070938215,0.8052256532066506,10,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",60,346,91,0.8522167487684729,0.7917620137299771,0.8208778173190985,11,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",58,350,87,0.8578431372549019,0.8009153318077803,0.8284023668639052,12,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",58,348,89,0.8571428571428571,0.7963386727688787,0.8256227758007118,13,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",61,347,90,0.8504901960784313,0.7940503432494279,0.8213017751479289,14,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",64,343,94,0.8427518427518428,0.7848970251716247,0.8127962085308057,15,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",64,343,94,0.8427518427518428,0.7848970251716247,0.8127962085308057,16,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",59,346,91,0.854320987654321,0.7917620137299771,0.8218527315914489,17,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",59,345,92,0.8539603960396039,0.7894736842105263,0.8204518430439953,18,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",65,342,95,0.8402948402948403,0.782608695652174,0.8104265402843601,19,danlp,Danish names,1
0,"['PER', 'LOC', 'ORG']",80,322,115,0.8009950248756219,0.7368421052631579,0.767580452920143,0,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",72,333,104,0.8222222222222222,0.7620137299771167,0.7909738717339667,1,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",72,330,107,0.8208955223880597,0.7551487414187643,0.7866507747318237,2,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",71,334,103,0.8246913580246914,0.7643020594965675,0.7933491686460808,3,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",73,329,108,0.818407960199005,0.7528604118993135,0.7842669845053635,4,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",71,336,101,0.8255528255528255,0.7688787185354691,0.7962085308056871,5,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",73,327,110,0.8175,0.7482837528604119,0.7813620071684588,6,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",69,336,101,0.8296296296296296,0.7688787185354691,0.7980997624703087,7,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",72,332,105,0.8217821782178217,0.7597254004576659,0.7895362663495837,8,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",77,330,107,0.8108108108108109,0.7551487414187643,0.7819905213270142,9,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",69,333,104,0.8283582089552238,0.7620137299771167,0.7938021454112038,10,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",67,334,103,0.8329177057356608,0.7643020594965675,0.7971360381861576,11,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",68,335,102,0.8312655086848635,0.7665903890160183,0.7976190476190477,12,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",67,337,100,0.8341584158415841,0.7711670480549199,0.8014268727705113,13,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",74,327,110,0.8154613466334164,0.7482837528604119,0.7804295942720764,14,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",73,329,108,0.818407960199005,0.7528604118993135,0.7842669845053635,15,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",75,327,110,0.8134328358208955,0.7482837528604119,0.7794994040524434,16,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",74,332,105,0.8177339901477833,0.7597254004576659,0.7876631079478055,17,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",70,330,107,0.825,0.7551487414187643,0.7885304659498208,18,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",68,334,103,0.8308457711442786,0.7643020594965675,0.7961859356376638,19,danlp,Muslim names,2
0,"['PER', 'LOC', 'ORG']",57,349,88,0.8596059113300493,0.7986270022883295,0.8279952550415184,0,danlp,Female names,3
0,"['PER', 'LOC', 'ORG']",60,346,91,0.8522167487684729,0.7917620137299771,0.8208778173190985,1,danlp,Female names,3
