,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,"['PER', 'LOC', 'ORG']",91,344,93,0.7908045977011494,0.7871853546910755,0.7889908256880734,0,dacy_medium,No augmentation,0
0,"['PER', 'LOC', 'ORG']",92,349,88,0.7913832199546486,0.7986270022883295,0.7949886104783599,0,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",92,346,91,0.7899543378995434,0.7917620137299771,0.7908571428571428,1,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",90,352,85,0.7963800904977375,0.8054919908466819,0.800910125142207,2,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",81,358,79,0.8154897494305239,0.8192219679633868,0.817351598173516,3,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",87,354,83,0.8027210884353742,0.8100686498855835,0.806378132118451,4,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",97,348,89,0.7820224719101123,0.7963386727688787,0.7891156462585033,5,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",88,352,85,0.8,0.8054919908466819,0.8027366020524516,6,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",89,351,86,0.7977272727272727,0.8032036613272311,0.8004561003420751,7,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",92,351,86,0.7923250564334086,0.8032036613272311,0.7977272727272727,8,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",93,349,88,0.7895927601809954,0.7986270022883295,0.794084186575654,9,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",87,351,86,0.8013698630136986,0.8032036613272311,0.8022857142857144,10,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",91,353,84,0.795045045045045,0.8077803203661327,0.8013620885357547,11,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",91,350,87,0.7936507936507936,0.8009153318077803,0.7972665148063781,12,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",91,352,85,0.7945823927765236,0.8054919908466819,0.7999999999999999,13,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",92,351,86,0.7923250564334086,0.8032036613272311,0.7977272727272727,14,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",92,351,86,0.7923250564334086,0.8032036613272311,0.7977272727272727,15,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",91,349,88,0.7931818181818182,0.7986270022883295,0.7958950969213227,16,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",93,348,89,0.7891156462585034,0.7963386727688787,0.7927107061503417,17,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",94,353,84,0.7897091722595079,0.8077803203661327,0.7986425339366515,18,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",91,354,83,0.7955056179775281,0.8100686498855835,0.802721088435374,19,dacy_medium,Danish names,1
0,"['PER', 'LOC', 'ORG']",103,331,106,0.7626728110599078,0.7574370709382151,0.7600459242250287,0,dacy_medium,Muslim names,2
0,"['PER', 'LOC', 'ORG']",96,340,97,0.7798165137614679,0.7780320366132724,0.7789232531500572,1,dacy_medium,Muslim names,2
0,"['PER', 'LOC', 'ORG']",102,332,105,0.7649769585253456,0.7597254004576659,0.7623421354764639,2,dacy_medium,Muslim names,2
0,"['PER', 'LOC', 'ORG']",94,331,106,0.7788235294117647,0.7574370709382151,0.7679814385150812,3,dacy_medium,Muslim names,2
