,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,"['PER', 'LOC', 'ORG']",41,326,111,0.888283378746594,0.7459954233409611,0.8109452736318408,0,flair,No augmentation,0
0,"['PER', 'LOC', 'ORG']",42,333,104,0.888,0.7620137299771167,0.8201970443349754,0,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",44,332,105,0.8829787234042553,0.7597254004576659,0.8167281672816727,1,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",44,333,104,0.883289124668435,0.7620137299771167,0.8181818181818182,2,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",44,331,106,0.8826666666666667,0.7574370709382151,0.8152709359605911,3,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",38,335,102,0.8981233243967829,0.7665903890160183,0.8271604938271605,4,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",46,331,106,0.8779840848806366,0.7574370709382151,0.8132678132678133,5,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",44,331,106,0.8826666666666667,0.7574370709382151,0.8152709359605911,6,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",42,334,103,0.8882978723404256,0.7643020594965675,0.8216482164821649,7,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",42,332,105,0.8877005347593583,0.7597254004576659,0.8187422934648583,8,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",41,334,103,0.8906666666666667,0.7643020594965675,0.8226600985221675,9,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",42,334,103,0.8882978723404256,0.7643020594965675,0.8216482164821649,10,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",39,335,102,0.8957219251336899,0.7665903890160183,0.8261405672009865,11,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",42,333,104,0.888,0.7620137299771167,0.8201970443349754,12,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",46,327,110,0.8766756032171582,0.7482837528604119,0.8074074074074075,13,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",46,332,105,0.8783068783068783,0.7597254004576659,0.8147239263803681,14,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",42,331,106,0.8873994638069705,0.7574370709382151,0.817283950617284,15,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",45,332,105,0.8806366047745358,0.7597254004576659,0.8157248157248157,16,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",42,331,106,0.8873994638069705,0.7574370709382151,0.817283950617284,17,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",40,333,104,0.8927613941018767,0.7620137299771167,0.8222222222222223,18,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",41,334,103,0.8906666666666667,0.7643020594965675,0.8226600985221675,19,flair,Danish names,1
0,"['PER', 'LOC', 'ORG']",46,322,115,0.875,0.7368421052631579,0.7999999999999999,0,flair,Muslim names,2
0,"['PER', 'LOC', 'ORG']",47,324,113,0.8733153638814016,0.7414187643020596,0.801980198019802,1,flair,Muslim names,2
0,"['PER', 'LOC', 'ORG']",53,319,118,0.8575268817204301,0.7299771167048055,0.7886279357231148,2,flair,Muslim names,2
0,"['PER', 'LOC', 'ORG']",48,320,117,0.8695652173913043,0.7322654462242563,0.7950310559006211,3,flair,Muslim names,2
0,"['PER', 'LOC', 'ORG']",46,322,115,0.875,0.7368421052631579,0.7999999999999999,4,flair,Muslim names,2
