,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,['PER'],51,149,31,0.745,0.8277777777777777,0.7842105263157896,0,polyglot,No augmentation,0
0,['PER'],63,146,34,0.6985645933014354,0.8111111111111111,0.7506426735218508,0,polyglot,Danish names,1
0,['PER'],55,152,28,0.7342995169082126,0.8444444444444444,0.7855297157622739,1,polyglot,Danish names,1
0,['PER'],52,147,33,0.7386934673366834,0.8166666666666667,0.7757255936675462,2,polyglot,Danish names,1
0,['PER'],61,153,27,0.7149532710280374,0.85,0.7766497461928934,3,polyglot,Danish names,1
0,['PER'],59,153,27,0.7216981132075472,0.85,0.7806122448979592,4,polyglot,Danish names,1
0,['PER'],53,157,23,0.7476190476190476,0.8722222222222222,0.805128205128205,5,polyglot,Danish names,1
0,['PER'],58,146,34,0.7156862745098039,0.8111111111111111,0.7604166666666667,6,polyglot,Danish names,1
0,['PER'],66,147,33,0.6901408450704225,0.8166666666666667,0.748091603053435,7,polyglot,Danish names,1
0,['PER'],57,156,24,0.7323943661971831,0.8666666666666667,0.7938931297709925,8,polyglot,Danish names,1
0,['PER'],61,145,35,0.7038834951456311,0.8055555555555556,0.7512953367875648,9,polyglot,Danish names,1
0,['PER'],58,154,26,0.7264150943396226,0.8555555555555555,0.7857142857142856,10,polyglot,Danish names,1
0,['PER'],61,147,33,0.7067307692307693,0.8166666666666667,0.7577319587628866,11,polyglot,Danish names,1
0,['PER'],58,154,26,0.7264150943396226,0.8555555555555555,0.7857142857142856,12,polyglot,Danish names,1
0,['PER'],55,153,27,0.7355769230769231,0.85,0.7886597938144331,13,polyglot,Danish names,1
0,['PER'],60,150,30,0.7142857142857143,0.8333333333333334,0.7692307692307692,14,polyglot,Danish names,1
0,['PER'],62,141,39,0.6945812807881774,0.7833333333333333,0.7362924281984334,15,polyglot,Danish names,1
0,['PER'],60,145,35,0.7073170731707317,0.8055555555555556,0.7532467532467532,16,polyglot,Danish names,1
0,['PER'],55,151,29,0.7330097087378641,0.8388888888888889,0.7823834196891193,17,polyglot,Danish names,1
0,['PER'],59,148,32,0.714975845410628,0.8222222222222222,0.764857881136951,18,polyglot,Danish names,1
0,['PER'],56,154,26,0.7333333333333333,0.8555555555555555,0.7897435897435897,19,polyglot,Danish names,1
0,['PER'],89,33,147,0.27049180327868855,0.18333333333333332,0.2185430463576159,0,polyglot,Muslim names,2
0,['PER'],92,36,144,0.28125,0.2,0.23376623376623376,1,polyglot,Muslim names,2
0,['PER'],83,41,139,0.33064516129032256,0.22777777777777777,0.26973684210526316,2,polyglot,Muslim names,2
0,['PER'],86,46,134,0.3484848484848485,0.25555555555555554,0.2948717948717949,3,polyglot,Muslim names,2
0,['PER'],91,31,149,0.2540983606557377,0.17222222222222222,0.2052980132450331,4,polyglot,Muslim names,2
0,['PER'],83,33,147,0.28448275862068967,0.18333333333333332,0.222972972972973,5,polyglot,Muslim names,2
0,['PER'],77,34,146,0.3063063063063063,0.18888888888888888,0.23367697594501718,6,polyglot,Muslim names,2
0,['PER'],82,38,142,0.31666666666666665,0.2111111111111111,0.2533333333333333,7,polyglot,Muslim names,2
0,['PER'],77,43,137,0.35833333333333334,0.2388888888888889,0.2866666666666667,8,polyglot,Muslim names,2
