Model,Metric,Majority all,Minority all,Majority Men,Minority Men,Majority Women,Minority Women,Unisex
ScandiNER,TP,177.1 (1.7),172.9 (2.3)*,176.4 (1.8),173.1 (2.5)*,176.8 (1.4),173.3 (1.7)*,173.8 (2.1)*
ScandiNER,FN,  2.9 (1.7),  7.1 (2.3)*,  3.7 (1.8),  6.9 (2.5)*,  3.3 (1.4),  6.8 (1.7)*,  6.3 (2.1)*
ScandiNER,FP, 8.2 (1.5), 6.8 (1.4)*, 8.2 (1.2), 7.7 (1.4), 8.2 (1.5), 6.8 (1.4)*, 8.1 (1.3)
DaCy large (0.1.0),TP,176.9 (1.4),174.4 (1.6)*,176.4 (1.5),175.1 (2.4),176.7 (1.8),174.5 (1.6)*,174.3 (1.6)*
DaCy large (0.1.0),FN,  3.2 (1.4),  5.7 (1.6)*,  3.7 (1.5),  4.9 (2.4),  3.4 (1.8),  5.5 (1.6)*,  5.8 (1.6)*
DaCy large (0.1.0),FP,17.6 (1.4),17.9 (1.6),18.5 (1.8),17.7 (1.4),17.6 (0.9),17.1 (0.8),18.1 (1.4)
DaCy medium (0.1.0),TP,170.1 (3.1),153.4 (4.8)*,171.6 (2.7),153.7 (2.9)*,171.2 (2.4),157.2 (3.9)*,162.2 (3.2)*
DaCy medium (0.1.0),FN,  9.9 (3.1), 26.6 (4.8)*,  8.5 (2.7), 26.4 (2.9)*,  8.8 (2.4), 22.9 (3.9)*, 17.8 (3.2)*
DaCy medium (0.1.0),FP,23.1 (2.3),26.0 (3.2)*,23.3 (2.6),26.0 (3.2)*,23.1 (2.0),23.7 (2.5),24.5 (2.0)
DaCy small (0.1.0),TP,163.8 (3.1),151.8 (4.7)*,164.2 (3.3),153.7 (5.5)*,164.8 (2.8),152.6 (4.3)*,157.3 (4.1)*
DaCy small (0.1.0),FN, 16.2 (3.1), 28.3 (4.7)*, 15.9 (3.3), 26.4 (5.5)*, 15.2 (2.8), 27.5 (4.3)*, 22.7 (4.1)*
DaCy small (0.1.0),FP,28.1 (3.5),29.9 (4.0),27.7 (3.0),31.1 (3.9),28.0 (2.7),29.6 (3.5),27.2 (2.5)
DaNLP BERT,TP,174.3 (2.0),162.3 (2.7)*,174.8 (2.1),163.3 (3.6)*,174.4 (1.6),162.6 (3.8)*,166.7 (2.3)*
DaNLP BERT,FN,  5.7 (2.0), 17.8 (2.7)*,  5.3 (2.1), 16.7 (3.6)*,  5.7 (1.6), 17.5 (3.8)*, 13.4 (2.3)*
DaNLP BERT,FP,21.5 (2.0),25.9 (2.6)*,21.4 (2.0),25.4 (3.3)*,21.6 (1.5),25.6 (2.5)*,24.2 (2.2)*
Flair,TP,172.9 (1.7),162.8 (3.0)*,175.0 (1.4)*,164.4 (2.5)*,171.4 (2.9),161.9 (3.9)*,163.6 (3.4)*
Flair,FN,  7.2 (1.7), 17.3 (3.0)*,  5.1 (1.4)*, 15.6 (2.5)*,  8.6 (2.9), 18.1 (3.9)*, 16.5 (3.4)*
Flair,FP,19.0 (1.3),18.7 (1.8),18.5 (1.5),19.1 (1.9),19.0 (1.7),19.2 (1.9),20.6 (1.9)*
SpaCy large (3.4.0),TP,168.9 (2.6),124.7 (6.3)*,170.7 (2.5),130.8 (4.1)*,167.4 (3.3),111.0 (5.6)*,152.6 (4.4)*
SpaCy large (3.4.0),FN, 11.1 (2.6), 55.3 (6.3)*,  9.3 (2.5), 49.2 (4.1)*, 12.6 (3.3), 69.0 (5.6)*, 27.5 (4.4)*
SpaCy large (3.4.0),FP,27.0 (2.2),33.4 (3.2)*,26.5 (1.7),33.7 (3.7)*,27.8 (2.4),33.3 (3.1)*,29.0 (1.4)*
SpaCy medium (3.4.0),TP,169.2 (2.9),105.0 (7.2)*,169.9 (2.2),118.3 (7.9)*,167.6 (3.3), 91.2 (4.6)*,138.0 (5.0)*
SpaCy medium (3.4.0),FN, 10.9 (2.9), 75.1 (7.2)*, 10.1 (2.2), 61.7 (7.9)*, 12.5 (3.3), 88.8 (4.6)*, 42.1 (5.0)*
SpaCy medium (3.4.0),FP,29.6 (1.8),41.6 (5.5)*,29.3 (1.8),41.1 (4.5)*,30.6 (3.0),44.0 (3.6)*,34.7 (2.4)*
SpaCy small (3.4.0),TP,131.3 (5.2), 96.8 (6.6)*,128.5 (5.8), 95.9 (5.6)*,133.2 (5.6), 93.3 (6.7)*,117.1 (7.4)*
SpaCy small (3.4.0),FN, 48.7 (5.2), 83.3 (6.6)*, 51.5 (5.8), 84.1 (5.6)*, 46.9 (5.6), 86.8 (6.7)*, 63.0 (7.4)*
SpaCy small (3.4.0),FP,44.3 (2.0),46.2 (1.7)*,44.8 (1.5),46.3 (2.0)*,44.8 (2.1),44.9 (2.3),44.6 (2.1)
Polyglot,TP,150.0 (4.3), 37.3 (4.4)*,155.6 (4.8)*, 41.4 (4.2)*,140.5 (5.9)*, 28.2 (4.7)*,113.3 (5.4)*
Polyglot,FN, 30.1 (4.3),142.8 (4.4)*, 24.5 (4.8)*,138.7 (4.2)*, 39.5 (5.9)*,151.9 (4.7)*, 66.8 (5.4)*
Polyglot,FP,58.5 (3.5),85.7 (6.6)*,56.2 (4.9),86.5 (5.7)*,63.1 (3.6)*,84.4 (5.7)*,74.2 (4.4)*
