Model,Metric,Majority all,Minority all,Majority Men,Minority Men,Majority Women,Minority Women,Unisex
ScandiNER,Precision,95.6 (0.8),96.2 (0.8),95.6 (0.7),95.7 (0.8),95.6 (0.8),96.2 (0.7),95.5 (0.7)
ScandiNER,Recall,98.4 (1.0),96.1 (1.3)*,98.0 (1.0),96.2 (1.4)*,98.2 (0.8),96.3 (0.9)*,96.5 (1.2)*
ScandiNER,F1,97.0 (0.7),96.1 (0.8)*,96.8 (0.7),96.0 (0.8)*,96.9 (0.7),96.2 (0.6)*,96.0 (0.8)*
DaCy large (0.1.0),Precision,91.0 (0.7),90.7 (0.8),90.5 (0.9),90.8 (0.7),90.9 (0.5),91.1 (0.4),90.6 (0.7)
DaCy large (0.1.0),Recall,98.3 (0.8),96.9 (0.9)*,98.0 (0.9),97.3 (1.4),98.1 (1.0),96.9 (0.9)*,96.8 (0.9)*
DaCy large (0.1.0),F1,94.5 (0.7),93.7 (0.6)*,94.1 (0.8),93.9 (1.0),94.4 (0.7),93.9 (0.6),93.6 (0.6)*
DaCy medium (0.1.0),Precision,88.0 (1.1),85.5 (1.7)*,88.0 (1.3),85.6 (1.6)*,88.1 (1.0),86.9 (1.3)*,86.9 (1.0)*
DaCy medium (0.1.0),Recall,94.5 (1.7),85.2 (2.7)*,95.3 (1.5),85.4 (1.6)*,95.1 (1.4),87.3 (2.2)*,90.1 (1.8)*
DaCy medium (0.1.0),F1,91.2 (1.2),85.4 (1.9)*,91.5 (1.2),85.5 (1.2)*,91.5 (1.1),87.1 (1.6)*,88.5 (1.2)*
DaCy small (0.1.0),Precision,85.4 (1.7),83.5 (2.0)*,85.6 (1.5),83.2 (2.1)*,85.5 (1.3),83.8 (1.8)*,85.3 (1.4)
DaCy small (0.1.0),Recall,91.0 (1.7),84.3 (2.6)*,91.2 (1.8),85.4 (3.1)*,91.6 (1.6),84.8 (2.4)*,87.4 (2.3)*
DaCy small (0.1.0),F1,88.1 (1.5),83.9 (2.1)*,88.3 (1.5),84.2 (2.4)*,88.4 (1.2),84.2 (1.9)*,86.3 (1.7)*
DaNLP BERT,Precision,89.0 (1.0),86.3 (1.3)*,89.1 (1.0),86.5 (1.7)*,89.0 (0.7),86.4 (1.3)*,87.3 (1.1)*
DaNLP BERT,Recall,96.8 (1.1),90.1 (1.5)*,97.1 (1.2),90.7 (2.0)*,96.9 (0.9),90.3 (2.1)*,92.6 (1.3)*
DaNLP BERT,F1,92.8 (1.0),88.2 (1.2)*,92.9 (0.9),88.6 (1.7)*,92.8 (0.6),88.3 (1.6)*,89.9 (1.0)*
Flair,Precision,90.1 (0.7),89.7 (1.0),90.4 (0.7),89.6 (1.0),90.0 (0.9),89.4 (1.1),88.8 (1.0)*
Flair,Recall,96.0 (0.9),90.4 (1.7)*,97.2 (0.8)*,91.3 (1.4)*,95.2 (1.6),89.9 (2.2)*,90.9 (1.9)*
Flair,F1,93.0 (0.7),90.0 (1.2)*,93.7 (0.6)*,90.5 (1.1)*,92.6 (1.2),89.7 (1.5)*,89.8 (1.3)*
SpaCy large (3.4.0),Precision,86.2 (1.1),78.9 (2.2)*,86.6 (0.9),79.5 (2.1)*,85.8 (1.2),76.9 (2.1)*,84.0 (0.9)*
SpaCy large (3.4.0),Recall,93.8 (1.4),69.3 (3.5)*,94.8 (1.4),72.7 (2.3)*,93.0 (1.8),61.7 (3.1)*,84.8 (2.4)*
SpaCy large (3.4.0),F1,89.9 (1.1),73.7 (2.8)*,90.5 (1.0),75.9 (2.0)*,89.2 (1.4),68.4 (2.6)*,84.4 (1.6)*
SpaCy medium (3.4.0),Precision,85.1 (0.9),71.6 (3.9)*,85.3 (0.8),74.2 (3.0)*,84.6 (1.4),67.5 (2.4)*,79.9 (1.4)*
SpaCy medium (3.4.0),Recall,94.0 (1.6),58.3 (4.0)*,94.4 (1.2),65.7 (4.4)*,93.1 (1.9),50.7 (2.6)*,76.6 (2.8)*
SpaCy medium (3.4.0),F1,89.3 (1.1),64.3 (3.9)*,89.6 (0.9),69.7 (3.6)*,88.6 (1.5),57.9 (2.4)*,78.2 (1.9)*
SpaCy small (3.4.0),Precision,74.8 (1.3),67.6 (2.1)*,74.1 (1.3),67.4 (1.7)*,74.8 (1.3),67.4 (2.1)*,72.4 (1.8)*
SpaCy small (3.4.0),Recall,72.9 (2.9),53.8 (3.7)*,71.4 (3.2),53.3 (3.1)*,74.0 (3.1),51.8 (3.7)*,65.0 (4.1)*
SpaCy small (3.4.0),F1,73.8 (2.0),59.9 (3.1)*,72.7 (2.2),59.5 (2.6)*,74.4 (2.1),58.6 (3.1)*,68.5 (3.0)*
Polyglot,Precision,72.0 (1.6),30.3 (3.4)*,73.5 (2.2),32.4 (3.2)*,69.0 (2.0)*,25.0 (3.6)*,60.4 (2.2)*
Polyglot,Recall,83.3 (2.4),20.7 (2.5)*,86.4 (2.7)*,23.0 (2.4)*,78.1 (3.3)*,15.6 (2.6)*,62.9 (3.0)*
Polyglot,F1,77.2 (1.8),24.6 (2.8)*,79.4 (2.4)*,26.9 (2.7)*,73.2 (2.5)*,19.2 (3.0)*,61.6 (2.5)*
